,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,year,month,day,Data Value
2376,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,309.0,South Crown Heights and Lefferts Gardens (CD9),Annual Average 2017,2017,1,1,7.4
13024,386,Ozone (O3),Mean,ppb,CD,406.0,Rego Park and Forest Hills (CD6),Summer 2017,2017,6,1,29.2
12253,375,Nitrogen dioxide (NO2),Mean,ppb,CD,108.0,Upper East Side (CD8),Summer 2010,2010,6,1,29.1
17534,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,102.0,Northeast Bronx,2005,2005,1,1,34.8
3598,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306.0,Chelsea - Clinton,Winter 2011-12,2011,12,1,12.4
2957,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104.0,Pelham - Throgs Neck,Annual Average 2018,2018,1,1,16.9
5265,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Summer 2020,2020,6,1,8.4
16480,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503.0,Tottenville and Great Kills (CD3),Summer 2018,2018,6,1,7.4
15954,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Summer 2010,2010,6,1,11.3
16618,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",Citywide,1.0,New York City,2012-2014,2012,1,2,13.2
14062,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,502.0,Stapleton - St. George,Annual Average 2017,2017,1,1,6.8
11601,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Summer 2021,2021,6,1,14.7
13408,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315.0,Sheepshead Bay (CD15),Annual Average 2020,2020,1,1,5.7
16134,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,206.0,Borough Park,Annual Average 2019,2019,1,1,6.3
6021,386,Ozone (O3),Mean,ppb,CD,409.0,Kew Gardens and Woodhaven (CD9),Summer 2014,2014,6,1,31.7
409,375,Nitrogen dioxide (NO2),Mean,ppb,CD,112.0,Washington Heights and Inwood (CD12),Annual Average 2013,2012,12,1,22.3
10475,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,Summer 2015,2015,6,1,9.5
4120,386,Ozone (O3),Mean,ppb,Borough,3.0,Manhattan,Summer 2009,2009,6,1,20.4
10995,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2010,2009,12,1,14.2
3381,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,103.0,Fordham - Bronx Pk,Annual Average 2010,2009,12,1,22.1
7654,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103.0,Fordham - Bronx Pk,Summer 2015,2015,6,1,16.0
156,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Winter 2021-22,2021,12,1,7.3
7003,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,408.0,Hillcrest and Fresh Meadows (CD8),Annual Average 2010,2009,12,1,9.3
9309,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",Borough,2.0,Brooklyn,2015-2017,2015,1,1,10.5
17532,643,Annual vehicle miles traveled,Million miles,per square mile,UHF42,306.0,Chelsea - Clinton,2005,2005,1,1,126.0
6621,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,405.0,Ridgewood - Forest Hills,Summer 2011,2011,6,1,11.4
3235,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,203.0,Morrisania and Crotona (CD3),Winter 2015-16,2015,12,1,8.4
8019,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,4.0,Queens,Summer 2018,2018,6,1,8.3
16161,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,407.0,Southwest Queens,Winter 2008-09,2008,12,1,12.9
9036,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208.0,Canarsie - Flatlands,Summer 2019,2019,6,1,9.2
12416,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,310.0,Lower Manhattan,2010,2010,1,1,81.5
3866,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102.0,Greenwich Village and Soho (CD2),Summer 2020,2020,6,1,8.7
12395,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Borough,1.0,Bronx,2017-2019,2017,1,1,27.0
3362,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,205.0,Sunset Park,Winter 2013-14,2013,12,1,27.7
187,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,208.0,Canarsie - Flatlands,2009-2011,2009,1,1,81.7
10029,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,307.0,Gramercy Park - Murray Hill,2015-2017,2015,1,1,12.0
11239,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,202.0,Downtown - Heights - Slope,2015-2017,2015,1,1,26.5
9289,375,Nitrogen dioxide (NO2),Mean,ppb,CD,206.0,Belmont and East Tremont (CD6),Annual Average 2011,2010,12,1,24.8
8110,375,Nitrogen dioxide (NO2),Mean,ppb,CD,408.0,Hillcrest and Fresh Meadows (CD8),Annual Average 2012,2011,12,1,19.4
15623,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,305307.0,Upper East Side-Gramercy,Winter 2020-21,2020,12,1,7.7
5792,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404.0,Bayside - Little Neck,Summer 2020,2020,6,1,8.7
8475,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,201.0,Mott Haven and Melrose (CD1),Summer 2012,2012,6,1,11.3
2830,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501.0,Port Richmond,Annual Average 2009,2008,12,1,21.4
11327,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,306.0,Chelsea - Clinton,2009-2011,2009,1,1,11.7
1428,375,Nitrogen dioxide (NO2),Mean,ppb,CD,202.0,Hunts Point and Longwood (CD2),Annual Average 2012,2011,12,1,22.1
4751,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,306.0,Park Slope and Carroll Gardens (CD6),Winter 2019-20,2019,12,1,8.5
804,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,302.0,Central Harlem - Morningside Heights,2009-2011,2009,1,1,291.1
1232,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413.0,Queens Village (CD13),Winter 2020-21,2020,12,1,6.6
5236,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,314.0,Flatbush and Midwood (CD14),Annual Average 2011,2010,12,1,10.1
2345,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Annual Average 2020,2020,1,1,6.4
15171,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,306308.0,Chelsea-Village,Annual Average 2010,2009,12,1,34.6
5693,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,304.0,Upper West Side,Summer 2009,2009,6,1,12.1
3011,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Winter 2009-10,2009,12,1,9.5
6540,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,304.0,Upper West Side,2015-2017,2015,1,1,51.9
9115,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,301.0,Washington Heights,2015-2017,2015,1,1,42.6
3261,375,Nitrogen dioxide (NO2),Mean,ppb,CD,316.0,Brownsville (CD16),Winter 2013-14,2013,12,1,28.8
1862,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Winter 2016-17,2016,12,1,21.1
11359,643,Annual vehicle miles traveled,Million miles,per square mile,CD,109.0,Morningside Heights and Hamilton Heights (CD9),2019,2019,1,1,133.1
10875,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,207.0,East Flatbush - Flatbush,Summer 2009,2009,6,1,21.4
11883,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,104.0,Pelham - Throgs Neck,Annual Average 2015,2015,1,1,8.9
18014,644,Annual vehicle miles traveled (cars),Million miles,per square mile,Borough,2.0,Brooklyn,2005,2005,1,1,52.8
17583,643,Annual vehicle miles traveled,Million miles,per square mile,CD,313.0,Coney Island (CD13),2010,2010,1,1,43.9
14354,375,Nitrogen dioxide (NO2),Mean,ppb,CD,208.0,Riverdale and Fieldston (CD8),Winter 2013-14,2013,12,1,22.5
15845,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,210.0,Coney Island - Sheepshead Bay,Summer 2011,2011,6,1,11.1
9860,651,Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",UHF42,101.0,Kingsbridge - Riverdale,2012-2014,2012,1,2,14.0
15902,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,406.0,Rego Park and Forest Hills (CD6),Winter 2013-14,2013,12,1,11.7
16316,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301.0,Washington Heights,Summer 2019,2019,6,1,8.2
14437,644,Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,107.0,Hunts Point - Mott Haven,2019,2019,1,1,51.4
6666,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,501502.0,Northern SI,Summer 2021,2021,6,1,8.2
13165,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,503.0,Willowbrook,Summer 2011,2011,6,1,12.8
3097,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211.0,Williamsburg - Bushwick,Summer 2016,2016,6,1,9.0
16553,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,408.0,Jamaica,Winter 2019-20,2019,12,1,7.5
5300,648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,309.0,Union Square - Lower East Side,2012-2014,2012,1,2,114.8
7743,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,111.0,East Harlem (CD11),Annual Average 2012,2011,12,1,10.0
6803,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313.0,Coney Island (CD13),Annual Average 2017,2017,1,1,6.8
14941,375,Nitrogen dioxide (NO2),Mean,ppb,CD,314.0,Flatbush and Midwood (CD14),Winter 2020-21,2020,12,1,22.6
9110,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,209.0,Bensonhurst - Bay Ridge,Summer 2013,2013,6,1,9.8
7826,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103.0,Lower East Side and Chinatown (CD3),Summer 2014,2014,6,1,21.3
5595,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502.0,Northern SI,Annual Average 2021,2021,1,1,14.8
1476,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",Borough,5.0,Staten Island,2012-2014,2012,1,2,13.6
5167,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310.0,Bay Ridge and Dyker Heights (CD10),Summer 2022,2022,6,1,10.6
17015,386,Ozone (O3),Mean,ppb,UHF34,309310.0,Union Square-Lower Manhattan,Summer 2021,2021,6,1,28.2
3131,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,304.0,Upper West Side,Annual Average 2009,2008,12,1,32.0
7044,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312.0,Borough Park (CD12),Summer 2013,2013,6,1,10.0
4570,386,Ozone (O3),Mean,ppb,CD,110.0,Central Harlem (CD10),Summer 2009,2009,6,1,21.6
10749,657,Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Borough,1.0,Bronx,2012-2014,2012,1,2,83.7
16410,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,410.0,Rockaways,Summer 2011,2011,6,1,9.9
7465,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,405.0,Ridgewood - Forest Hills,2012-2014,2012,1,2,10.7
8711,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,406.0,Fresh Meadows,2015-2017,2015,1,1,54.8
3092,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211.0,Williamsburg - Bushwick,Annual Average 2016,2015,12,31,8.7
9504,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107.0,South Bronx,Winter 2015-16,2015,12,1,24.3
12096,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Borough,2.0,Brooklyn,2017-2019,2017,1,1,43.0
16773,386,Ozone (O3),Mean,ppb,UHF34,306308.0,Chelsea-Village,Summer 2014,2014,6,1,25.3
14329,375,Nitrogen dioxide (NO2),Mean,ppb,CD,212.0,Williamsbridge and Baychester (CD12),Summer 2016,2016,6,1,14.1
13964,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206.0,Borough Park,Summer 2018,2018,6,1,12.6
10000,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,403.0,Jackson Heights (CD3),Annual Average 2016,2015,12,31,7.3
6672,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201.0,Greenpoint,Annual Average 2010,2009,12,1,10.6
12184,375,Nitrogen dioxide (NO2),Mean,ppb,CD,306.0,Park Slope and Carroll Gardens (CD6),Winter 2015-16,2015,12,1,25.3
13322,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104.0,Pelham - Throgs Neck,Summer 2011,2011,6,1,17.2
1516,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,202.0,Downtown - Heights - Slope,Winter 2012-13,2012,12,1,11.1
6687,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104.0,Pelham - Throgs Neck,Summer 2014,2014,6,1,15.0
7260,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,303.0,East Harlem,Annual Average 2018,2018,1,1,20.9
7480,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Summer 2019,2019,6,1,7.3
1822,643,Annual vehicle miles traveled,Million miles,per square mile,CD,106.0,Stuyvesant Town and Turtle Bay (CD6),2010,2010,1,1,178.6
5910,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,303.0,Bedford Stuyvesant (CD3),Winter 2009-10,2009,12,1,10.1
16459,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107.0,Hunts Point - Mott Haven,Winter 2008-09,2008,12,1,12.3
2907,375,Nitrogen dioxide (NO2),Mean,ppb,CD,108.0,Upper East Side (CD8),Summer 2015,2015,6,1,21.7
2142,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,5.0,Staten Island,Summer 2014,2014,6,1,9.3
10592,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Annual Average 2011,2010,12,1,19.3
1235,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313.0,Coney Island (CD13),Winter 2014-15,2014,12,1,8.0
16494,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,405.0,Ridgewood - Forest Hills,Winter 2008-09,2008,12,1,13.3
15744,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,405.0,Ridgewood - Forest Hills,Summer 2019,2019,6,1,12.8
13455,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Annual Average 2021,2021,1,1,15.3
10898,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,101.0,Kingsbridge - Riverdale,2014,2014,1,1,1.5
12305,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,406.0,Rego Park and Forest Hills (CD6),2019,2019,1,1,85.6
17149,646,Outdoor Air Toxics - Benzene,Annual average concentration,Âµg/m3,CD,103.0,Lower East Side and Chinatown (CD3),2011,2011,1,1,2.2
4273,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206.0,Borough Park,Summer 2011,2011,6,1,18.6
13761,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,307.0,Gramercy Park - Murray Hill,2009-2011,2009,1,1,2.1
1628,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105.0,Midtown (CD5),Winter 2019-20,2019,12,1,12.6
7063,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,401.0,Long Island City - Astoria,Summer 2012,2012,6,1,11.2
42,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Winter 2010-11,2010,12,1,14.4
14632,375,Nitrogen dioxide (NO2),Mean,ppb,CD,402.0,Woodside and Sunnyside (CD2),Winter 2014-15,2014,12,1,26.3
2419,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409.0,Southeast Queens,Summer 2013,2013,6,1,9.8
11373,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Winter 2017-18,2017,12,1,11.5
12142,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105.0,Midtown (CD5),Summer 2016,2016,6,1,11.7
6696,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2016,2015,12,31,8.7
12006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409.0,Southeast Queens,Annual Average 2009,2008,12,1,19.9
6719,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,302.0,Central Harlem - Morningside Heights,Winter 2020-21,2020,12,1,6.7
15223,386,Ozone (O3),Mean,ppb,UHF42,407.0,Southwest Queens,Summer 2018,2018,6,1,31.9
14484,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504.0,South Beach - Tottenville,Winter 2009-10,2009,12,1,16.9
16449,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,318.0,Flatlands and Canarsie (CD18),Summer 2013,2013,6,1,9.8
4496,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,405.0,Ridgewood and Maspeth (CD5),Annual Average 2021,2021,1,1,7.0
17547,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,109.0,Morningside Heights and Hamilton Heights (CD9),2005,2005,1,1,83.8
1391,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,305.0,Upper East Side,Winter 2013-14,2013,12,1,33.4
8571,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,301.0,Greenpoint and Williamsburg (CD1),Annual Average 2010,2009,12,1,10.7
15785,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312.0,Borough Park (CD12),Annual Average 2022,2022,1,1,5.7
7184,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Summer 2019,2019,6,1,7.3
2199,375,Nitrogen dioxide (NO2),Mean,ppb,CD,311.0,Bensonhurst (CD11),Annual Average 2015,2015,1,1,19.1
12592,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,402.0,Woodside and Sunnyside (CD2),Summer 2019,2019,6,1,9.7
9674,653,Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,101.0,Kingsbridge - Riverdale,2017-2019,2017,1,1,66.0
11223,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,102.0,Northeast Bronx,Annual Average 2017,2017,1,1,7.5
11540,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,101.0,Kingsbridge - Riverdale,Annual Average 2016,2015,12,31,16.0
15685,386,Ozone (O3),Mean,ppb,UHF34,211.0,Williamsburg - Bushwick,2-Year Summer Average 2009-2010,2009,6,1,26.7
11119,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103.0,Fordham - Bronx Pk,Annual Average 2009,2008,12,1,24.8
15990,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,404.0,Elmhurst and Corona (CD4),Annual Average 2017,2017,1,1,7.5
14301,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,CD,403.0,Jackson Heights (CD3),2019,2019,1,1,3.4
11285,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,CD,406.0,Rego Park and Forest Hills (CD6),2010,2010,1,1,3.7
6590,375,Nitrogen dioxide (NO2),Mean,ppb,CD,405.0,Ridgewood and Maspeth (CD5),Winter 2010-11,2010,12,1,30.7
4410,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206.0,Borough Park,Annual Average 2015,2015,1,1,19.7
1260,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413.0,Queens Village (CD13),Summer 2015,2015,6,1,12.1
3845,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203.0,Bedford Stuyvesant - Crown Heights,Annual Average 2016,2015,12,31,7.9
2995,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104.0,Pelham - Throgs Neck,Summer 2013,2013,6,1,14.7
15046,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,CD,404.0,Elmhurst and Corona (CD4),2011,2011,1,1,2.3
1961,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,5.0,Staten Island,Annual Average 2012,2011,12,1,8.4
13402,386,Ozone (O3),Mean,ppb,UHF34,105106107.0,South Bronx,Summer 2013,2013,6,1,30.7
1488,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,102.0,Northeast Bronx,Winter 2018-19,2018,12,1,19.1
8531,386,Ozone (O3),Mean,ppb,CD,209.0,Parkchester and Soundview (CD9),Summer 2022,2022,6,1,32.9
16995,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,309310.0,Union Square-Lower Manhattan,Winter 2010-11,2010,12,1,36.2
15277,386,Ozone (O3),Mean,ppb,UHF34,305307.0,Upper East Side-Gramercy,Summer 2009,2009,6,1,18.6
1916,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,103.0,Fordham - Bronx Pk,Annual Average 2021,2021,1,1,16.0
17481,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,CD,104.0,Clinton and Chelsea (CD4),2005,2005,1,1,7.8
9059,659,Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,310.0,Lower Manhattan,2012-2014,2012,1,2,24.6
15732,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,503.0,Willowbrook,Summer 2011,2011,6,1,11.3
16842,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,102.0,Northeast Bronx,Annual Average 2019,2019,1,1,14.7
12043,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,107.0,Hunts Point - Mott Haven,2012-2014,2012,1,2,46.5
17834,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,318.0,Flatlands and Canarsie (CD18),Winter 2013-14,2013,12,1,11.0
1313,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,410.0,Rockaways,2009-2011,2009,1,1,18.8
2754,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208.0,Riverdale and Fieldston (CD8),Annual Average 2016,2015,12,31,7.5
5026,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,406.0,Rego Park and Forest Hills (CD6),Summer 2017,2017,6,1,8.8
13282,386,Ozone (O3),Mean,ppb,CD,411.0,Bayside and Little Neck (CD11),Summer 2018,2018,6,1,31.1
4455,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Summer 2022,2022,6,1,7.2
3053,643,Annual vehicle miles traveled,Million miles,per square mile,CD,310.0,Bay Ridge and Dyker Heights (CD10),2005,2005,1,1,58.4
7190,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,314.0,Flatbush and Midwood (CD14),Winter 2014-15,2014,12,1,8.7
11131,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,UHF42,409.0,Southeast Queens,2010,2010,1,1,1.6
6278,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208.0,Canarsie - Flatlands,Summer 2014,2014,6,1,8.2
16736,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,317.0,East Flatbush (CD17),Annual Average 2019,2019,1,1,6.4
155,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2013,2013,6,1,9.4
15728,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101.0,Kingsbridge - Riverdale,Winter 2011-12,2011,12,1,21.9
3297,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211.0,Williamsburg - Bushwick,Winter 2008-09,2008,12,1,32.8
8346,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Summer 2011,2011,6,1,14.8
12984,639,Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,404.0,Bayside - Little Neck,2017-2019,2017,1,1,24.0
13921,386,Ozone (O3),Mean,ppb,UHF42,403.0,Flushing - Clearview,Summer 2016,2016,6,1,33.4
8629,655,Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,205.0,Sunset Park,2012-2014,2012,1,2,11.6
9100,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,207.0,East Flatbush - Flatbush,Summer 2013,2013,6,1,10.2
8279,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,102.0,Northeast Bronx,Summer 2012,2012,6,1,16.3
15746,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,403.0,Flushing - Clearview,Summer 2015,2015,6,1,14.5
9578,375,Nitrogen dioxide (NO2),Mean,ppb,CD,210.0,Throgs Neck and Co-op City (CD10),Annual Average 2020,2020,1,1,15.5
13601,386,Ozone (O3),Mean,ppb,UHF34,203.0,Bedford Stuyvesant - Crown Heights,Summer 2018,2018,6,1,30.2
17668,386,Ozone (O3),Mean,ppb,UHF34,102.0,Northeast Bronx,2-Year Summer Average 2009-2010,2009,6,1,28.6
1081,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402.0,West Queens,Summer 2017,2017,6,1,15.8
14172,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,502.0,Stapleton - St. George,Summer 2011,2011,6,1,13.9
13947,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208.0,Riverdale and Fieldston (CD8),Summer 2010,2010,6,1,11.8
17605,644,Annual vehicle miles traveled (cars),Million miles,per square mile,CD,305.0,East New York and Starrett City (CD5),2005,2005,1,1,48.8
11708,661,Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Borough,3.0,Manhattan,2009-2011,2009,1,1,4.9
13450,645,Annual vehicle miles traveled (trucks),Million miles,per square mile,UHF42,207.0,East Flatbush - Flatbush,2019,2019,1,1,1.9
12627,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,UHF42,307.0,Gramercy Park - Murray Hill,2011,2011,1,1,2.8
8995,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Winter 2020-21,2020,12,1,19.2
3420,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Annual Average 2014,2013,12,1,18.8
16236,375,Nitrogen dioxide (NO2),Mean,ppb,CD,401.0,Long Island City and Astoria (CD1),Annual Average 2022,2022,1,1,16.1
9711,386,Ozone (O3),Mean,ppb,UHF34,404406.0,Bayside Little Neck-Fresh Meadows,Summer 2022,2022,6,1,33.7
